index,probability_not_bacteriocin,probability_bacteriocin
1301.0,0.0,0.7121
1302.0,0.0,0.9967
1305.0,0.0009,0.0056
1307.0,0.0,0.9992
1308.0,0.0005,0.008
1322.0,0.0001,0.9213
1324.0,0.0019,0.0049
1328.0,0.0001,0.0019
1329.0,0.0001,0.0112
1331.0,0.0002,0.9994
1336.0,0.0004,0.0021
1340.0,0.0,0.9638
1341.0,0.0028,0.003
1343.0,0.0003,0.0031
1344.0,0.0,0.9647
1345.0,0.0005,0.003
1352.0,0.0001,0.0717
1353.0,0.0,0.4875
1357.0,0.0083,0.0435
1358.0,0.0,0.1198
1363.0,0.0,0.1017
1365.0,0.0,0.0115
1375.0,0.0004,0.0007
1385.0,0.0,0.9953
1389.0,0.0,0.731
1391.0,0.0017,0.0094
1396.0,0.0002,0.191
1397.0,0.0001,0.0997
1398.0,0.0022,0.056
1399.0,0.0,0.9971
1408.0,0.0001,0.0051
1411.0,0.0007,0.0048
1413.0,0.0001,0.9381
1416.0,0.0001,0.009
1417.0,0.003,0.4029
1430.0,0.0,0.8777
1433.0,0.0,1.0
1443.0,0.0014,0.0027
1445.0,0.001,0.0053
1452.0,0.0,0.0402
1453.0,0.0001,0.0148
1454.0,0.0,0.9753
1461.0,0.0,0.9999
1470.0,0.0,0.9319
1476.0,0.0001,0.5772
1477.0,0.0,0.0848
1479.0,0.0,1.0
1481.0,0.0004,0.0013
1482.0,0.0003,0.905
1484.0,0.0,0.474
1486.0,0.0,0.039
1490.0,0.0001,0.4133
1491.0,0.0001,0.7655
1492.0,0.0,0.1087
1493.0,0.0002,0.0052
1495.0,0.0001,0.067
1496.0,0.0004,0.0047
1499.0,0.0,0.4031
1506.0,0.0005,0.0233
1507.0,0.0007,0.8628
1511.0,0.0,0.0758
1513.0,0.0002,0.0004
1517.0,0.0002,0.0091
1519.0,0.0,0.9999
1520.0,0.0003,0.0039
1521.0,0.0001,0.0028
1522.0,0.0004,0.0124
1525.0,0.0,0.9999
1528.0,0.0112,0.0216
1532.0,0.0001,0.0541
1535.0,0.0003,0.0065
1539.0,0.0,0.0408
1543.0,0.0037,0.0163
1546.0,0.0,0.0029
1547.0,0.0,1.0
1549.0,0.0001,0.9772
1550.0,0.0001,0.0322
1555.0,0.0002,0.0066
1558.0,0.0004,0.1985
1561.0,0.0002,0.9613
1564.0,0.0001,0.8514
1565.0,0.0001,0.5923
1574.0,0.0061,0.0192
1577.0,0.0,0.0195
1578.0,0.0011,0.0013
1598.0,0.0098,0.0547
1600.0,0.0002,0.0003
1601.0,0.0,0.1355
1606.0,0.0001,0.2394
1610.0,0.0007,0.0034
1615.0,0.0001,0.5464
1616.0,0.0003,0.0195
1617.0,0.0,0.9768
1620.0,0.0,0.0068
1622.0,0.0,0.0184
1626.0,0.0,0.9343
1631.0,0.0027,0.1398
1633.0,0.0,0.9999
1634.0,0.0012,0.0061
1635.0,0.0004,0.0009
1637.0,0.001,0.0051
1639.0,0.0001,0.0048
1641.0,0.0003,0.0058
1645.0,0.0,0.4931
1646.0,0.0,0.7117
1649.0,0.0034,0.8544
1653.0,0.0001,0.2805
1655.0,0.0008,0.0031
1656.0,0.0004,0.0004
1658.0,0.0002,0.7079
1659.0,0.0012,0.082
1666.0,0.0013,0.0016
1668.0,0.0001,0.9842
1671.0,0.0024,0.6223
1672.0,0.0008,0.837
1680.0,0.0002,0.0348
1682.0,0.0,0.9954
1683.0,0.0003,0.0049
1687.0,0.0006,0.0378
1689.0,0.0004,0.6364
1691.0,0.0003,0.003
1697.0,0.0005,0.0027
1698.0,0.0,0.9896
1700.0,0.0,0.1121
1702.0,0.0,0.995
1703.0,0.0001,0.0922
1706.0,0.0046,0.0247
1711.0,0.0005,0.0032
1714.0,0.0005,0.0014
1715.0,0.0001,0.001
1717.0,0.0005,0.0312
1721.0,0.0002,0.0082
1728.0,0.0,0.9138
1735.0,0.0073,0.4538
1736.0,0.0003,0.0204
1737.0,0.0,0.9979
1741.0,0.0001,0.9964
1748.0,0.0001,0.0024
1749.0,0.0002,0.074
1751.0,0.0002,0.4547
1760.0,0.0,0.3679
1761.0,0.0,0.0647
1771.0,0.0,0.9891
1772.0,0.0014,0.0092
1774.0,0.0,0.9999
1779.0,0.0,0.7487
1786.0,0.0446,0.1418
1789.0,0.0008,0.026
1798.0,0.0012,0.0788
1815.0,0.0001,0.9449
1816.0,0.0001,0.9862
1817.0,0.0004,0.9114
1818.0,0.0001,0.4659
1827.0,0.0,0.9994
1830.0,0.0002,0.958
1831.0,0.0001,0.0162
1840.0,0.0,0.9985
1843.0,0.0001,0.0061
1852.0,0.0001,0.0063
1860.0,0.0014,0.011
1862.0,0.0,0.1408
1871.0,0.0,0.9985
1873.0,0.0001,0.0185
1879.0,0.0001,0.8858
1880.0,0.0016,0.0017
1895.0,0.0,0.1227
1910.0,0.0008,0.1257
1911.0,0.0,0.9009
1920.0,0.0008,0.001
1921.0,0.0,0.7687
1930.0,0.0008,0.0346
1945.0,0.0002,0.291
1946.0,0.0,1.0
1949.0,0.0006,0.8232
1950.0,0.0001,0.8688
1964.0,0.0,0.9999
1965.0,0.0,0.9991
1966.0,0.0,0.8674
1967.0,0.0009,0.0474
1971.0,0.0003,0.1342
1973.0,0.0149,0.1882
1975.0,0.0,0.6185
1980.0,0.0,0.9607
1983.0,0.0,0.9991
