{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.16511000067506454, 0.95679015], [0.00413927599663708, 0.99861306]), 'p_i': 19}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 64, 'result': ([0.2650799821074176, 0.9444444], [0.0009704432561261677, 0.9993065]), 'p_i': 20}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 640, 'kernel_size': 52, 'pool_size': 13, 'dropout1': 0.2, 'dropout2': 0.2}, 'epochs': 20, 'batch_size': 64, 'result': ([0.3301575788301071, 0.8703704], [0.09515112767741342, 0.95908463]), 'p_i': 21}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 13, 'dropout1': 0.0, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 64, 'result': ([0.4869385209153004, 0.845679], [0.051410473733341455, 0.97988904]), 'p_i': 22}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 256, 'result': ([0.310693283140082, 0.9382716], [0.0013305134866302085, 0.9993065]), 'p_i': 23}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 320, 'kernel_size': 13, 'pool_size': 13, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 64, 'result': ([0.3848688999811813, 0.9506173], [0.0009638002219814764, 0.9993065]), 'p_i': 24}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 13, 'dropout1': 0.5, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 64, 'result': ([0.3313030696300246, 0.89506173], [0.05690921946677794, 0.9854369]), 'p_i': 25}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 256, 'result': ([0.334847633310295, 0.9506173], [0.0011238143506249322, 0.9993065]), 'p_i': 26}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 13, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 50, 'batch_size': 256, 'result': ([0.21991726894275931, 0.9506173], [0.001211675738947246, 0.9993065]), 'p_i': 27}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 13, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 64, 'result': ([0.21348110963747782, 0.9444444], [0.0016474484533860055, 0.99861306]), 'p_i': 28}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 26, 'dropout1': 0.0, 'dropout2': 0.2}, 'epochs': 50, 'batch_size': 64, 'result': ([0.26847393424422666, 0.9506173], [0.0009732959673967795, 0.9993065]), 'p_i': 29}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 13, 'dropout1': 0.2, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.23113659370793727, 0.962963], [0.0009760883209832357, 0.9993065]), 'p_i': 30}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.31066035368937384, 0.9444444], [0.001073894217017366, 0.9993065]), 'p_i': 31}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.2}, 'epochs': 20, 'batch_size': 256, 'result': ([0.16702527724796148, 0.9506173], [0.003277703994911244, 0.9993065]), 'p_i': 32}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.2}, 'epochs': 20, 'batch_size': 64, 'result': ([0.20112468867237, 0.91358024], [0.010436308679032693, 0.99861306]), 'p_i': 33}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 13, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.21500504385046101, 0.9506173], [0.0011074750774480104, 0.9993065]), 'p_i': 34}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 64, 'result': ([0.2629772494253181, 0.9506173], [0.001423653248746786, 0.9993065]), 'p_i': 35}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 64, 'result': ([0.17788095284759262, 0.9691358], [0.0012463835996184512, 0.9993065]), 'p_i': 36}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 20, 'batch_size': 256, 'result': ([0.18297361665560422, 0.95679015], [0.007212559682409597, 0.9993065]), 'p_i': 37}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 13, 'pool_size': 26, 'dropout1': 0.0, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.191186308886686, 0.9506173], [0.0012563946143730968, 0.9993065]), 'p_i': 38}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.24610510949885428, 0.9259259], [0.0022334255442076883, 0.99861306]), 'p_i': 39}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 640, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.2420175099695073, 0.9444444], [0.0009872214179895951, 0.9993065]), 'p_i': 40}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.13878315343775366, 0.9506173], [0.010898974827773631, 0.99722606]), 'p_i': 41}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 64, 'result': ([0.30842033846024997, 0.88271606], [0.06565500320556694, 0.9778086]), 'p_i': 42}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 13, 'dropout1': 0.5, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 256, 'result': ([0.23305511844591728, 0.95679015], [0.0020181394054831474, 0.9993065]), 'p_i': 43}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 256, 'result': ([0.18998901380549368, 0.9506173], [0.0012092525459603254, 0.9993065]), 'p_i': 44}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 640, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.424391535479077, 0.91358024], [0.0025882799650824837, 0.99861306]), 'p_i': 45}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.17929026742667273, 0.9506173], [0.0012231110670600503, 0.9993065]), 'p_i': 46}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.2}, 'epochs': 20, 'batch_size': 64, 'result': ([0.18973170094697128, 0.962963], [0.01933673577029232, 0.9958391]), 'p_i': 47}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 26, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 64, 'result': ([0.2338871676489202, 0.9506173], [0.0011389715177833706, 0.9993065]), 'p_i': 48}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.23937783491538692, 0.95679015], [0.0010085940934087866, 0.9993065]), 'p_i': 49}
