{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.26403977399990874, 0.95679015], [0.0019286931451807782, 0.99861306]), 'p_i': 16}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11462629726767413, 0.9506173], [0.00870470021432847, 0.9993065]), 'p_i': 17}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1098901537465292, 0.962963], [0.0017054361516390844, 0.9993065]), 'p_i': 18}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([8.05904793444975, 0.5], [8.059047773046402, 0.5]), 'p_i': 19}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 20}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 21}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.10738453191214954, 0.95679015], [0.013048447943040675, 0.99861306]), 'p_i': 22}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 23}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.5744971301820542, 0.80246913], [0.5534384635053626, 0.8446602]), 'p_i': 24}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.20429824458228207, 0.9506173], [0.0009733898968282196, 0.9993065]), 'p_i': 25}
