{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.14206358981881087, 0.9506173], [0.018636700783787753, 0.99722606]), 'p_i': 20}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.14511981926445802, 0.9444444], [0.013758886090109071, 0.99722606]), 'p_i': 21}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.15156011621120313, 0.962963], [0.002512559751249303, 0.99861306]), 'p_i': 22}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.25334232530476386, 0.9506173], [0.0021305048261923234, 0.9993065]), 'p_i': 23}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.17576529292237406, 0.93209875], [0.06569840703237073, 0.9923717]), 'p_i': 24}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.14775851978633853, 0.9382716], [0.02588798717987025, 0.99722606]), 'p_i': 25}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.25456594949889627, 0.962963], [0.0010075526912769722, 0.9993065]), 'p_i': 26}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.17593392739070957, 0.95679015], [0.0011405314073269642, 0.9993065]), 'p_i': 27}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.16586555698412947, 0.95679015], [0.0024805251033486026, 0.9993065]), 'p_i': 28}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.15506624861774448, 0.9506173], [0.01140573907103622, 0.99722606]), 'p_i': 29}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.35448677865443406, 0.83950615], [0.3076028869320715, 0.8973648]), 'p_i': 30}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.18229821857882092, 0.95679015], [0.003252633700424827, 0.9993065]), 'p_i': 31}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.1459366944089444, 0.9382716], [0.022493777902546273, 0.99722606]), 'p_i': 32}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.3126644834784078, 0.86419755], [0.2685293065030102, 0.9084605]), 'p_i': 33}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.3518085963104242, 0.845679], [0.3141925078241901, 0.88696253]), 'p_i': 34}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.14619589249357545, 0.9382716], [0.008230947977223856, 0.99861306]), 'p_i': 35}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.23959730583944444, 0.95679015], [0.0009973595470953256, 0.9993065]), 'p_i': 36}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.20664954608696015, 0.95679015], [0.0010370068886205014, 0.9993065]), 'p_i': 37}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.17659092256385597, 0.9506173], [0.00305179203303412, 0.9993065]), 'p_i': 38}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.17541088205398525, 0.9506173], [0.0027894821423854886, 0.9993065]), 'p_i': 39}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.18180508527321113, 0.9506173], [0.00498571320796636, 0.9993065]), 'p_i': 40}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.17032862664809617, 0.95679015], [0.001569767120234047, 0.9993065]), 'p_i': 41}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.2820430578732932, 0.95679015], [0.0009761070926892943, 0.9993065]), 'p_i': 42}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.14303184272475453, 0.9444444], [0.010999264567573755, 0.99861306]), 'p_i': 43}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.1546461548619752, 0.95679015], [0.002118052229400969, 0.9993065]), 'p_i': 44}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.17077078326622508, 0.93209875], [0.06572660759360052, 0.9923717]), 'p_i': 45}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.18942473477175184, 0.9197531], [0.08239336522624165, 0.98127604]), 'p_i': 46}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.18586477067305102, 0.9444444], [0.0029923901890776534, 0.9993065]), 'p_i': 47}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.16308616867316256, 0.93209875], [0.04953143216576556, 0.9951456]), 'p_i': 48}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.15910468590989577, 0.9382716], [0.006198305102845398, 0.9993065]), 'p_i': 49}
